current_time, current_time_step, current_sub-iteration, fetchTime, forceVecProjTime, linearAssembleTime, bcApplyTime, solverSolveTime, totalForceCalTime, printDispTime, pushTime, moveMeshTime, dispVTKExpTime, dispTxtExpTime, checkpointExpTime, assignOldFuncSpaceTime, simtimePerIter, simtimePerStep
0.001,1,1,0.008343219757080078,0.006453037261962891,0.013433456420898438,0.00015211105346679688,0.15326857566833496,0.004953861236572266,0.0006840229034423828,0.005463123321533203,0.0,0.0,0.0,0.0,0.0,0.19277524948120117,0.0
0.001,1,2,4.418488025665283,0.0006127357482910156,0.007884025573730469,0.0001957416534423828,0.1092529296875,0.0036399364471435547,0.0002574920654296875,0.0043697357177734375,0.0,0.0,0.0,0.0,0.0,4.544721603393555,0.0
current_time, current_time_step, current_sub-iteration, fetchTime, forceVecProjTime, linearAssembleTime, bcApplyTime, solverSolveTime, totalForceCalTime, printDispTime, pushTime, moveMeshTime, dispVTKExpTime, dispTxtExpTime, checkpointExpTime, assignOldFuncSpaceTime, simtimePerIter, simtimePerStep
0.03,1,1,0.014805078506469727,0.0004467964172363281,0.014591693878173828,0.00012135505676269531,0.5055892467498779,0.02258443832397461,0.0018224716186523438,0.030658483505249023,0.0,0.0,0.0,0.0,0.0,0.5906586647033691,0.0
0.03,1,2,4.744103193283081,0.00048613548278808594,0.01425313949584961,0.00013899803161621094,0.47119688987731934,0.005026578903198242,0.00046515464782714844,0.018138885498046875,0.0,0.0,0.0,0.0,0.0,5.253840446472168,0.0
0.03,1,3,5.224902868270874,0.0006201267242431641,0.014553308486938477,0.0001373291015625,1.7471091747283936,0.01621532440185547,0.0022847652435302734,0.048830270767211914,0.0,0.0,0.0,0.0,0.0,7.0546863079071045,0.0
0.03,1,4,6.791345596313477,0.0011305809020996094,0.021817922592163086,0.0002162456512451172,2.0802130699157715,0.011473894119262695,0.0008389949798583984,0.03126406669616699,0.0,0.0,0.0,0.0,0.0,8.938331604003906,0.0
0.03,1,5,7.289376497268677,0.0004932880401611328,0.015280485153198242,0.0001404285430908203,1.5470154285430908,0.011841535568237305,0.0004284381866455078,0.039118289947509766,0.0,0.0,0.0,0.0,0.0,8.903729677200317,0.0
0.06,2,1,1.3434867858886719,0.0010662078857421875,0.023470163345336914,0.00030922889709472656,1.876800298690796,0.01888275146484375,0.002447366714477539,0.060263872146606445,0.006857156753540039,13.552281141281128,0.005209445953369141,0.026795148849487305,0.009002923965454102,3.326780080795288,44.34335207939148
0.06,2,2,7.38122034072876,0.0013685226440429688,0.025438785552978516,0.0002529621124267578,1.0341417789459229,0.005806922912597656,0.00037407875061035156,0.01624011993408203,0.006857156753540039,13.552281141281128,0.005209445953369141,0.026795148849487305,0.009002923965454102,8.46487808227539,44.34335207939148
0.06,2,3,9.521648168563843,0.0005581378936767578,0.015937328338623047,0.0001685619354248047,1.7596135139465332,0.019014358520507812,0.0013806819915771484,0.04888272285461426,0.006857156753540039,13.552281141281128,0.005209445953369141,0.026795148849487305,0.009002923965454102,11.367239713668823,44.34335207939148
0.06,2,4,8.337761163711548,0.0015554428100585938,0.026899337768554688,0.00024247169494628906,1.781294822692871,0.0641181468963623,0.0005097389221191406,0.03157520294189453,0.006857156753540039,13.552281141281128,0.005209445953369141,0.026795148849487305,0.009002923965454102,10.244012355804443,44.34335207939148
0.06,2,5,8.7987642288208,0.0013644695281982422,0.026233911514282227,0.0002598762512207031,1.5563690662384033,0.03338813781738281,0.0014967918395996094,0.05132269859313965,0.006857156753540039,13.552281141281128,0.005209445953369141,0.026795148849487305,0.009002923965454102,10.469240665435791,44.34335207939148
0.09,3,1,4.351881504058838,0.0012612342834472656,0.023937225341796875,0.00031065940856933594,1.2550537586212158,0.00612330436706543,0.0006859302520751953,0.022215843200683594,0.00313568115234375,10.417007446289062,0.0014827251434326172,0.009023427963256836,0.002102375030517578,5.661527395248413,54.30800914764404
0.09,3,2,8.60753059387207,0.0013663768768310547,0.02612590789794922,0.00027561187744140625,1.5927226543426514,0.011410713195800781,0.0004851818084716797,0.017038822174072266,0.00313568115234375,10.417007446289062,0.0014827251434326172,0.009023427963256836,0.002102375030517578,10.256996631622314,54.30800914764404
0.09,3,3,9.067603826522827,0.0012500286102294922,0.02321767807006836,0.0002491474151611328,1.4078359603881836,0.005952596664428711,0.0004749298095703125,0.017796754837036133,0.00313568115234375,10.417007446289062,0.0014827251434326172,0.009023427963256836,0.002102375030517578,10.524414777755737,54.30800914764404
0.09,3,4,8.805190563201904,0.0011682510375976562,0.023467063903808594,0.0002486705780029297,2.152449369430542,0.012730598449707031,0.0003764629364013672,0.053131818771362305,0.00313568115234375,10.417007446289062,0.0014827251434326172,0.009023427963256836,0.002102375030517578,11.048802137374878,54.30800914764404
0.09,3,5,8.26997685432434,0.0005092620849609375,0.015463113784790039,0.00018095970153808594,1.9998035430908203,0.0058269500732421875,0.00039958953857421875,0.016275644302368164,0.00313568115234375,10.417007446289062,0.0014827251434326172,0.009023427963256836,0.002102375030517578,10.308470726013184,54.30800914764404
0.12,4,1,3.041599988937378,0.0005128383636474609,0.015376806259155273,0.0001571178436279297,1.5853374004364014,0.006081581115722656,0.0004982948303222656,0.020490646362304688,0.004278421401977539,13.876237869262695,0.0015070438385009766,0.035474300384521484,0.002193450927734375,4.670085906982422,61.72190546989441
0.12,4,2,7.354353904724121,0.00136566162109375,0.028934717178344727,0.0010721683502197266,1.651628017425537,0.022408246994018555,0.0008609294891357422,0.0570831298828125,0.004278421401977539,13.876237869262695,0.0015070438385009766,0.035474300384521484,0.002193450927734375,9.11774492263794,61.72190546989441
