(
(0.000000  ((0.00000000 0.000000 -0.000000) (0.00000000 0.000000 0.000000)))
(0.010000  ((0.00000000 0.000000 -0.000006) (0.00019591 0.000000 0.000000)))
(0.020000  ((0.00000000 0.000000 -0.000012) (0.00040447 0.000000 0.000000)))
(0.030000  ((0.00000000 0.000000 -0.000018) (0.00062649 0.000000 0.000000)))
(0.040000  ((0.00000000 0.000000 -0.000025) (0.00086285 0.000000 0.000000)))
(0.050000  ((0.00000000 0.000000 -0.000033) (0.00111446 0.000000 0.000000)))
(0.060000  ((0.00000000 0.000000 -0.000040) (0.00138229 0.000000 0.000000)))
(0.070000  ((0.00000000 0.000000 -0.000049) (0.00166740 0.000000 0.000000)))
(0.080000  ((0.00000000 0.000000 -0.000058) (0.00197089 0.000000 0.000000)))
(0.090000  ((0.00000000 0.000000 -0.000067) (0.00229393 0.000000 0.000000)))
(0.100000  ((0.00000000 0.000000 -0.000077) (0.00263779 0.000000 0.000000)))
(0.110000  ((0.00000000 0.000000 -0.000088) (0.00300377 0.000000 0.000000)))
(0.120000  ((0.00000000 0.000000 -0.000099) (0.00339331 0.000000 0.000000)))
(0.130000  ((0.00000000 0.000000 -0.000111) (0.00380791 0.000000 0.000000)))
(0.140000  ((0.00000000 0.000000 -0.000124) (0.00424915 0.000000 0.000000)))
(0.150000  ((0.00000000 0.000000 -0.000138) (0.00471875 0.000000 0.000000)))
(0.160000  ((0.00000000 0.000000 -0.000152) (0.00521849 0.000000 0.000000)))
(0.170000  ((0.00000000 0.000000 -0.000168) (0.00575031 0.000000 0.000000)))
(0.180000  ((0.00000000 0.000000 -0.000184) (0.00631622 0.000000 0.000000)))
(0.190000  ((0.00000000 0.000000 -0.000202) (0.00691840 0.000000 0.000000)))
(0.200000  ((0.00000000 0.000000 -0.000221) (0.00755914 0.000000 0.000000)))
(0.210000  ((0.00000000 0.000000 -0.000241) (0.00824087 0.000000 0.000000)))
(0.220000  ((0.00000000 0.000000 -0.000262) (0.00896617 0.000000 0.000000)))
(0.230000  ((0.00000000 0.000000 -0.000284) (0.00973779 0.000000 0.000000)))
(0.240000  ((0.00000000 0.000000 -0.000308) (0.01055864 0.000000 0.000000)))
(0.250000  ((0.00000000 0.000000 -0.000334) (0.01143179 0.000000 0.000000)))
(0.260000  ((0.00000000 0.000000 -0.000361) (0.01236053 0.000000 0.000000)))
(0.270000  ((0.00000000 0.000000 -0.000390) (0.01334832 0.000000 0.000000)))
(0.280000  ((0.00000000 0.000000 -0.000421) (0.01439883 0.000000 0.000000)))
(0.290000  ((0.00000000 0.000000 -0.000453) (0.01551596 0.000000 0.000000)))
(0.300000  ((0.00000000 0.000000 -0.000488) (0.01670382 0.000000 0.000000)))
