0.001	-0.08	0
0.002	-0.0792385	0.545151
0.003	-0.0780702	0.99634
0.004	-0.0764494	1.4463
0.005	-0.0743882	1.88978
0.006	-0.0718995	2.3218
0.007	-0.0689991	2.73929
0.008	-0.065706	3.13886
0.009	-0.0620428	3.51711
0.01	-0.0580352	3.87078
0.011	-0.0537118	4.19686
0.012	-0.049104	4.49269
0.013	-0.0442448	4.75615
0.014	-0.0391684	4.98603
0.015	-0.0339093	5.18166
0.016	-0.0285031	5.34215
0.017	-0.0229857	5.46704
0.018	-0.0173924	5.55666
0.019	-0.0117576	5.61172
0.02	-0.00611507	5.63296
0.021	-0.000497413	5.6213
0.022	0.00506366	5.5777
0.023	0.0105374	5.50307
0.024	0.0158939	5.39833
0.025	0.0211044	5.26426
0.026	0.0261406	5.10168
0.027	0.0309754	4.91153
0.028	0.0355829	4.69481
0.029	0.0399377	4.45241
0.03	0.0440153	4.18496
0.031	0.0477918	3.89308
0.032	0.0512432	3.5771
0.033	0.054346	3.23726
0.034	0.0570772	2.87413
0.035	0.0594148	2.48864
0.036	0.0613375	2.08148
0.037	0.0628235	1.65276
0.038	0.0638515	1.20257
0.039	0.0643961	0.728291
0.04	0.0644185	0.219501
0.041	0.0639748	-0.259663
0.042	0.0630998	-0.704346
0.043	0.061821	-1.11944
0.044	0.0601421	-1.52342
0.045	0.0580769	-1.91456
0.046	0.0556424	-2.28999
0.047	0.0528573	-2.64738
0.048	0.0497427	-2.98446
0.049	0.0463219	-3.29924
0.05	0.0426197	-3.58986
0.051	0.0386623	-3.85476
0.052	0.0344776	-4.09252
0.053	0.0300943	-4.30195
0.054	0.0255421	-4.48202
0.055	0.0208516	-4.63194
0.056	0.0160538	-4.7511
0.057	0.0111799	-4.83911
0.058	0.00626137	-4.89579
0.059	0.00132958	-4.92117
0.06	-0.00358461	-4.91556
0.061	-0.00845088	-4.87951
0.062	-0.0132398	-4.8138
0.063	-0.0179232	-4.71946
0.064	-0.0224737	-4.59766
0.065	-0.0268657	-4.44966
0.066	-0.0310746	-4.27679
0.067	-0.0350773	-4.08026
