# Force and moment coefficients
# dragDir                 : (1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00)
# sideDir                 : (0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00)
# liftDir                 : (0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00)
# rollAxis                : (1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00)
# pitchAxis               : (0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00)
# yawAxis                 : (0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00)
# magUInf                 : 1.000000000000000000e+00
# lRef                    : 1.000000000000000000e+00
# Aref                    : 1.000000000000000000e+00
# CofR                    : (0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00)
#
# Time                    	Cd                        	Cd(f)                     	Cd(r)                     	Cl                        	Cl(f)                     	Cl(r)                     	CmPitch                   	CmRoll                    	CmYaw                     	Cs                        	Cs(f)                     	Cs(r)                     
0.0299999999999999989     	1.281611476968847585e+00	6.460597494065383195e-01	6.355517275623091544e-01	-3.209856975512861976e-02	8.307109064580527058e-02	-1.151696604009338903e-01	9.912037552336958046e-02	5.254010922114533966e-03	-1.653952266537288274e-01	-9.846277280279328026e-02	-2.146266130551254814e-01	1.161638402523321734e-01
0.0599999999999999978     	7.818836712266321598e+00	3.905137858077232238e+00	3.913698854189089804e+00	5.959858559687232493e-02	3.826163189860404823e-01	-3.230177333891681712e-01	3.528170261876042990e-01	-4.280498055928934863e-03	-6.206129305292175102e-01	2.030229480538733033e-01	-5.191014565022809002e-01	7.221244045561542313e-01
0.0899999999999999967     	2.825750199410554941e+01	1.412361829941884572e+01	1.413388369468670192e+01	2.073542758619661974e-01	1.575574786739004640e+00	-1.368220510877038665e+00	1.471897648808021764e+00	-5.132697633929393655e-03	-2.390180797080561526e+00	4.280420689092534481e-01	-2.176159762625935024e+00	2.604201831535188028e+00
0.119999999999999996      	6.760734599517871857e+01	3.379312747499666614e+01	3.381421852018205243e+01	2.677631277331731230e-01	3.996268505077539501e+00	-3.728505377344366156e+00	3.862386941210953051e+00	-1.054552259269082685e-02	-5.898477487639553374e+00	7.239413477987975964e-01	-5.536506813740154520e+00	6.260448161538952228e+00
0.149999999999999994      	1.203687309177752951e+02	6.014190824694107818e+01	6.022682267083421692e+01	2.510405898552646731e-01	7.488733993530291677e+00	-7.237693403675026893e+00	7.363213698602659285e+00	-4.245721194656889436e-02	-1.042189858750108833e+01	1.619176424255366120e+00	-9.612310375373404270e+00	1.123148679962877239e+01
0.179999999999999993      	1.644310240615018870e+02	8.212134127539513884e+01	8.230968278610674815e+01	2.013961648071076471e-01	1.115211547344024900e+01	-1.095071930863314158e+01	1.105141739103669529e+01	-9.417075535580184120e-02	-1.411424820690816695e+01	2.623532842153046385e+00	-1.280248178583164353e+01	1.542601462798468859e+01
0.209999999999999992      	1.765944606009678637e+02	8.814027497033168856e+01	8.845418563063616091e+01	-1.511481064911858289e-02	1.297946565019054077e+01	-1.299458046083966067e+01	1.298702305551510072e+01	-1.569553301522284561e-01	-1.510057119453281338e+01	3.199755492670171009e+00	-1.350069344819772965e+01	1.670044894086789711e+01
0.239999999999999991      	1.674140557716994522e+02	8.357843110280302312e+01	8.383562466889641485e+01	-1.093817847571700169e-01	1.282878619347213878e+01	-1.293816797822930909e+01	1.288347708585072482e+01	-1.285967830467037443e-01	-1.468852730804066553e+01	2.457664411819661332e+00	-1.345969510213083531e+01	1.591735951395049575e+01
0.270000000000000018      	1.513577252584314294e+02	7.557111477743437433e+01	7.578661048099704090e+01	-1.787810884184873605e-01	1.177828817866835998e+01	-1.195706926708684570e+01	1.186767872287760284e+01	-1.077478517813384024e-01	-1.365119234065869236e+01	1.640734378527204385e+00	-1.283082515139508928e+01	1.447155952992229366e+01
0.300000000000000044      	1.352548108445862454e+02	6.753054913694967354e+01	6.772426170763657183e+01	-2.596650007514575975e-01	1.050497332830828157e+01	-1.076463832905973916e+01	1.063480582868401036e+01	-9.685628534344521701e-02	-1.245914601419425338e+01	1.030956990583818289e+00	-1.194366751890234468e+01	1.297462450948616208e+01
0.330000000000000071      	1.207628433026431054e+02	6.029447976651718477e+01	6.046836353612592063e+01	-3.466428727739528926e-01	9.265784483775846070e+00	-9.612427356549799740e+00	9.439105920162822017e+00	-8.694188480436440547e-02	-1.137887687204752396e+01	4.620853996104437034e-01	-1.114783417224230178e+01	1.160991957185274615e+01
0.360000000000000098      	1.087711639872136544e+02	5.430579162555356731e+01	5.446537236166008711e+01	-4.599856220200470580e-01	8.206319553989711579e+00	-8.666305176009757361e+00	8.436312364999734470e+00	-7.979036805325895321e-02	-1.046569156414533985e+01	1.266756332320657496e-03	-1.046505818597918136e+01	1.046632494231150012e+01
0.390000000000000124      	9.924337985357200864e+01	4.954582198286723838e+01	4.969755787070477737e+01	-5.761309446478909413e-01	7.358892319283786065e+00	-7.935023263931676674e+00	7.646957791607730925e+00	-7.586794391877155208e-02	-9.731162888270318945e+00	-3.645184655140959462e-01	-9.913422121027366529e+00	9.548903655513271360e+00
0.420000000000000151      	9.183258038810872392e+01	4.582812859789150650e+01	4.600445179021721032e+01	-8.533304807142153559e-01	6.708937720470410149e+00	-7.562268201184625838e+00	7.135602960827517549e+00	-8.816159616285514089e-02	-9.179405319341318759e+00	-6.966885915549313468e-01	-9.527749615118784376e+00	8.831061023563853141e+00
0.450000000000000178      	8.507626866332722670e+01	4.244359833780069380e+01	4.263267032552652580e+01	-1.032594288477647115e+00	6.101075736498426494e+00	-7.133670024976072277e+00	6.617372880737249830e+00	-9.453599386291756945e-02	-8.739484815806372708e+00	-1.109449175823356892e+00	-9.294209403718051377e+00	8.184760227894694040e+00
0.480000000000000204      	7.943124967690562244e+01	3.956576860102075699e+01	3.986548107588487255e+01	-1.667293539028756655e+00	5.592489083164100094e+00	-7.259782622192857637e+00	6.426135852678478422e+00	-1.498562374320542567e-01	-8.396269472740156559e+00	-1.491019790569695358e+00	-9.141779368025003905e+00	7.650759577455308325e+00
0.510000000000000231      	7.483209842016854907e+01	3.710978572529532471e+01	3.772231269487322436e+01	-3.397445028435247760e+00	5.175442144734645034e+00	-8.572887173169892350e+00	6.874164658952269136e+00	-3.062634847889463829e-01	-8.205928458923841262e+00	-1.977371299470513710e+00	-9.194614108659099116e+00	7.217242809188584296e+00
0.540000000000000258      	7.115686662374346838e+01	3.500404365765101744e+01	3.615282296609244383e+01	-6.455277064110550356e+00	4.836277897711536156e+00	-1.129155496182208651e+01	8.063916429766811333e+00	-5.743896542207144185e-01	-8.262101079023727479e+00	-2.761479785920234686e+00	-9.642840971983845932e+00	6.881361186063609914e+00
0.570000000000000284      	6.808298679591781877e+01	3.316556588207603795e+01	3.491742091384178082e+01	-1.016308726635063664e+01	4.570079869689330998e+00	-1.473316713603997030e+01	9.651623502864650206e+00	-8.759275158828688790e-01	-8.570486071268513584e+00	-3.946692387227115351e+00	-1.054383226488207193e+01	6.597139877654956130e+00
0.600000000000000311      	6.433502186077653562e+01	3.103377121244023940e+01	3.330125064833629267e+01	-1.354539992385627123e+01	4.247376702349987987e+00	-1.779277662620625833e+01	1.102007666427812360e+01	-1.133739717948028636e+00	-8.942619148599542100e+00	-5.383305985056659360e+00	-1.163427214112787134e+01	6.250966156071214641e+00
0.630000000000000338      	6.014600103151406074e+01	2.901696126595881609e+01	3.112903976555524466e+01	-1.335570522573090813e+01	3.864258210645071578e+00	-1.721996343637598059e+01	1.054211082351052653e+01	-1.056039249798215396e+00	-9.362261213523451531e+00	-7.006123757201069502e+00	-1.286532309212398673e+01	5.859199334922916336e+00
0.660000000000000364      	5.565815682092885197e+01	2.707809311534825270e+01	2.858006370558059572e+01	-1.075594617789920093e+01	3.389941404901536615e+00	-1.414588758280073755e+01	8.767914493851137081e+00	-7.509852951161697376e-01	-9.727529446223011078e+00	-8.605771359557781608e+00	-1.403041512600190188e+01	5.424643766444122051e+00
0.690000000000000391      	5.096074967195838212e+01	2.503194543504397629e+01	2.592880423691440583e+01	-8.064974514453409071e+00	2.888658765826509267e+00	-1.095363328027991834e+01	6.921146023053213803e+00	-4.484294009352136623e-01	-9.889604929392293187e+00	-9.843577087877870113e+00	-1.481139347333122736e+01	4.967816385453357242e+00
0.720000000000000417      	4.658502888140555598e+01	2.305971044770720368e+01	2.352531843369835229e+01	-6.026600854495047344e+00	2.440689173450114158e+00	-8.467290027945161057e+00	5.453989600697637385e+00	-2.328039929955749987e-01	-9.732877314813698888e+00	-1.037690304485449211e+01	-1.492132883724094583e+01	4.544425792386451946e+00
0.750000000000000444      	4.284680880373650069e+01	2.132715784028303929e+01	2.151965096345346140e+01	-4.534740532028860294e+00	2.095874631011200417e+00	-6.630615163040060267e+00	4.363244897025630564e+00	-9.624656158521251170e-02	-9.271809647278693944e+00	-1.017700120223232574e+01	-1.436031024839485681e+01	4.183309046162531963e+00
