current_time, current_time_step, current_sub-iteration, fetchTime, forceVecProjTime, linearAssembleTime, bcApplyTime, solverSolveTime, totalForceCalTime, printDispTime, pushTime, moveMeshTime, dispVTKExpTime, dispTxtExpTime, checkpointExpTime, assignOldFuncSpaceTime, simtimePerIter, simtimePerStep
0.001,1,1,0.008343219757080078,0.006453037261962891,0.013433456420898438,0.00015211105346679688,0.15326857566833496,0.004953861236572266,0.0006840229034423828,0.005463123321533203,0.0,0.0,0.0,0.0,0.0,0.19277524948120117,0.0
0.001,1,2,4.418488025665283,0.0006127357482910156,0.007884025573730469,0.0001957416534423828,0.1092529296875,0.0036399364471435547,0.0002574920654296875,0.0043697357177734375,0.0,0.0,0.0,0.0,0.0,4.544721603393555,0.0
current_time, current_time_step, current_sub-iteration, fetchTime, forceVecProjTime, linearAssembleTime, bcApplyTime, solverSolveTime, totalForceCalTime, printDispTime, pushTime, moveMeshTime, dispVTKExpTime, dispTxtExpTime, checkpointExpTime, assignOldFuncSpaceTime, simtimePerIter, simtimePerStep
0.03,1,1,0.012865304946899414,0.00041961669921875,0.014541149139404297,0.00011682510375976562,0.5226728916168213,0.01633453369140625,0.0009114742279052734,0.024704933166503906,0.0,0.0,0.0,0.0,0.0,0.5925891399383545,0.0
0.03,1,2,4.556467533111572,0.00044155120849609375,0.01374959945678711,0.0001354217529296875,0.5875604152679443,0.018767833709716797,0.0003910064697265625,0.02915644645690918,0.0,0.0,0.0,0.0,0.0,5.206698894500732,0.0
0.03,1,3,4.721143007278442,0.0004425048828125,0.013566255569458008,0.00014162063598632812,0.6608462333679199,0.0052378177642822266,0.0003693103790283203,0.013715744018554688,0.0,0.0,0.0,0.0,0.0,5.415492057800293,0.0
0.03,1,4,4.940918922424316,0.00046753883361816406,0.013663291931152344,0.00013589859008789062,0.5457463264465332,0.015479564666748047,0.0003464221954345703,0.022653818130493164,0.0,0.0,0.0,0.0,0.0,5.539439678192139,0.0
0.03,1,5,4.986945390701294,0.0004115104675292969,0.012629270553588867,0.00011849403381347656,0.5774931907653809,0.015113592147827148,0.00034546852111816406,0.029671907424926758,0.0,0.0,0.0,0.0,0.0,5.622761011123657,0.0
0.06,2,1,2.0393431186676025,0.0006196498870849609,0.013642549514770508,0.00012636184692382812,0.8176491260528564,0.005162239074707031,0.00044465065002441406,0.01328587532043457,0.0038411617279052734,6.009799480438232,0.001428365707397461,0.007555484771728516,0.002012491226196289,2.8903050422668457,28.4034481048584
0.06,2,2,4.473421812057495,0.0004382133483886719,0.012165546417236328,0.000133514404296875,0.5186688899993896,0.004976749420166016,0.0004279613494873047,0.012920379638671875,0.0038411617279052734,6.009799480438232,0.001428365707397461,0.007555484771728516,0.002012491226196289,5.023207902908325,28.4034481048584
0.06,2,3,4.6735451221466064,0.0004742145538330078,0.012869596481323242,0.00012421607971191406,0.6435225009918213,0.010238885879516602,0.004420042037963867,0.02696704864501953,0.0038411617279052734,6.009799480438232,0.001428365707397461,0.007555484771728516,0.002012491226196289,5.372190713882446,28.4034481048584
0.06,2,4,4.976442575454712,0.00043773651123046875,0.014047622680664062,0.0001366138458251953,0.42418456077575684,0.0047991275787353516,0.0003578662872314453,0.012936115264892578,0.0038411617279052734,6.009799480438232,0.001428365707397461,0.007555484771728516,0.002012491226196289,5.433368921279907,28.4034481048584
0.06,2,5,5.142075777053833,0.0004203319549560547,0.012758731842041016,0.00013518333435058594,0.39987921714782715,0.004948139190673828,0.0004363059997558594,0.016915082931518555,0.0038411617279052734,6.009799480438232,0.001428365707397461,0.007555484771728516,0.002012491226196289,5.577656030654907,28.4034481048584
0.09,3,1,1.7002058029174805,0.00042939186096191406,0.014466524124145508,0.00015282630920410156,0.636056661605835,0.005269765853881836,0.00042724609375,0.013273239135742188,0.0037932395935058594,6.796372652053833,0.0012874603271484375,0.00732731819152832,0.0016777515411376953,2.370309829711914,31.10854411125183
0.09,3,2,4.212900161743164,0.0004229545593261719,0.012920856475830078,0.00012564659118652344,0.4571049213409424,0.004834175109863281,0.00046753883361816406,0.01667642593383789,0.0037932395935058594,6.796372652053833,0.0012874603271484375,0.00732731819152832,0.0016777515411376953,4.705478668212891,31.10854411125183
0.09,3,3,4.1383795738220215,0.00047326087951660156,0.012930870056152344,0.00012421607971191406,0.7473335266113281,0.004814863204956055,0.0004968643188476562,0.01784062385559082,0.0037932395935058594,6.796372652053833,0.0012874603271484375,0.00732731819152832,0.0016777515411376953,4.922467470169067,31.10854411125183
0.09,3,4,4.399382591247559,0.000457763671875,0.013784170150756836,0.0001266002655029297,0.9202268123626709,0.004830598831176758,0.00035071372985839844,0.012774229049682617,0.0037932395935058594,6.796372652053833,0.0012874603271484375,0.00732731819152832,0.0016777515411376953,5.351959943771362,31.10854411125183
0.09,3,5,4.637982130050659,0.0005843639373779297,0.013403892517089844,0.00012564659118652344,0.8134984970092773,0.014702796936035156,0.0004131793975830078,0.027439355850219727,0.0037932395935058594,6.796372652053833,0.0012874603271484375,0.00732731819152832,0.0016777515411376953,5.508181810379028,31.10854411125183
0.12,4,1,1.7164006233215332,0.0004677772521972656,0.013902902603149414,0.000133514404296875,0.543724536895752,0.005057573318481445,0.0004248619079589844,0.013326644897460938,0.0036063194274902344,7.106126546859741,0.0014486312866210938,0.015321493148803711,0.0019767284393310547,2.293466091156006,29.98823881149292
0.12,4,2,4.42336106300354,0.00041294097900390625,0.012971878051757812,0.00012803077697753906,0.6194977760314941,0.004973888397216797,0.00048732757568359375,0.018238544464111328,0.0036063194274902344,7.106126546859741,0.0014486312866210938,0.015321493148803711,0.0019767284393310547,5.080138206481934,29.98823881149292
